Team,Summer Games,Gold,Silver,Bronze,TOTAL
Afghanistan,14,0,0,2,2
Algeria,13,5,4,8,17
Argentina,24,21,25,28,74
Armenia,6,2,6,6,14
Australasia,2,3,4,5,12
Australia,26,147,163,187,497
Austria,27,18,33,36,87
Azerbaijan,6,7,11,25,43
Bahamas,16,6,2,6,14
Bahrain,9,2,1,0,3
Barbados,12,0,0,1,1
Belarus,6,12,27,39,78
Belgium,26,40,53,55,148
Bermuda,18,0,0,1,1
Bohemia,3,0,1,3,4
Botswana,10,0,1,0,1
Brazil,22,30,36,63,129
British West Indies,1,0,0,2,2
Bulgaria,20,51,87,80,218
Burundi,6,1,1,0,2
Cameroon,14,3,1,2,6
Canada,26,64,102,136,302
Chile,23,2,7,4,13
China,10,224,167,155,546
Chinese Taipei,14,5,7,12,24
Colombia,19,5,9,14,28
Costa Rica,15,1,1,2,4
Croatia,7,11,10,12,33
Cuba,20,78,68,80,226
Cyprus,10,0,1,0,1
Czech Republic,6,15,17,24,56
Czechoslovakia,16,49,49,45,143
Denmark,27,45,74,75,194
Djibouti,8,0,0,1,1
Dominican Republic,14,3,2,2,7
East Germany,5,153,129,127,409
Ecuador,14,1,1,0,2
Egypt,22,7,10,15,32
Eritrea (ERI),5,0,0,1,1
Estonia,12,9,9,16,34
Ethiopia,13,22,11,21,54
Fiji,14,1,0,0,1
Finland,25,101,85,117,303
France,28,212,241,263,716
Gabon,10,0,1,0,1
Georgia,6,8,7,17,32
Germany,16,191,194,230,615
Ghana,14,0,1,3,4
Great Britain,28,263,295,293,851
Greece,28,33,43,40,116
Grenada,9,1,1,0,2
Guatemala,14,0,1,0,1
Guyana,17,0,0,1,1
Haiti,15,0,1,1,2
Hong Kong,16,1,1,1,3
Hungary,26,175,147,169,491
Iceland,20,0,2,2,4
India,24,9,7,12,28
Indonesia,15,7,13,12,32
Iran,16,19,22,28,69
Iraq,14,0,0,1,1
Ireland,21,9,10,12,31
Israel,16,1,1,7,9
Italy,27,206,178,193,577
Ivory Coast,13,1,1,1,3
Jamaica,17,22,35,21,78
Japan,22,142,136,161,439
Jordan,10,1,0,0,1
Kazakhstan,6,15,21,27,63
Kenya,14,31,38,34,103
Kosovo,1,1,0,0,1
Kuwait,12,0,0,2,2
Kyrgyzstan,6,0,1,3,4
Latvia,11,3,11,5,19
Lebanon,17,0,2,2,4
Liechtenstein,17,0,0,0,0
Lithuania,9,6,7,13,26
Luxembourg,23,1,1,0,2
Macedonia,6,0,0,1,1
Malaysia,13,0,7,4,11
Mauritius,9,0,0,1,1
Mexico,23,13,24,32,69
Moldova,6,0,2,3,5
Mongolia,13,2,10,14,26
Montenegro,3,0,1,0,1
Morocco,14,6,5,12,23
Mozambique,10,1,0,1,2
Namibia,7,0,4,0,4
Netherlands Antilles,13,0,1,0,1
Netherlands,26,85,92,108,285
New Zealand,23,46,27,44,117
Nigeria,16,3,10,12,25
Niger,12,0,1,1,2
North Korea,10,16,16,22,54
Norway,25,56,49,47,152
Pakistan,17,3,3,4,10
Panama,17,1,0,2,3
Paraguay,12,0,1,0,1
Peru,18,1,3,0,4
Philippines,21,0,3,7,10
Poland,21,68,83,133,284
Portugal,24,4,8,12,24
Puerto Rico,18,1,2,6,9
Qatar,9,0,1,4,5
Romania,21,89,95,122,306
Russian Empire,3,1,4,3,8
Russia,6,148,125,153,426
Samoa,9,0,1,0,1
Saudi Arabia,11,0,1,2,3
Senegal,14,0,1,0,1
Serbia,4,3,6,6,15
Singapore,16,1,2,2,5
Slovakia,6,9,12,7,28
Slovenia,7,5,8,10,23
South Africa,19,26,31,29,86
South Korea,17,90,87,90,267
Soviet Union,9,395,319,296,1010
Spain,23,45,64,41,150
Sri Lanka,17,0,2,0,2
Sudan,12,0,1,0,1
Suriname,12,1,0,1,2
Sweden,27,145,170,179,494
Switzerland,28,50,75,67,192
Syria,13,1,1,1,3
Tajikistan,6,1,1,2,4
Tanzania,13,0,2,0,2
Thailand,16,9,8,16,33
Togo,10,0,0,1,1
Tonga,9,0,1,0,1
Trinidad and Tobago,17,3,5,11,19
Tunisia,14,4,2,7,13
Turkey,22,39,24,28,91
Uganda,15,2,3,2,7
Ukraine,6,35,30,56,121
United Arab Emirates,9,1,0,1,2
United States,27,1022,795,705,2522
United Team of Germany,3,28,54,36,118
Uruguay,21,2,2,6,10
Uzbekistan,6,8,6,17,31
Venezuela,18,2,4,9,15
Vietnam,15,1,3,0,4
Virgin Islands,12,0,1,0,1
West Germany,5,56,67,81,204
Yugoslavia,18,28,31,31,90
Zambia,13,0,1,1,2
Zimbabwe,13,3,4,1,8
